,tree_idx,sen,treebank,deprel_order,sent_id,core_args,head_Number,head_Person,head_Tense,head_VerbForm,head_child-deprel_advcl,head_child-deprel_advmod,head_child-deprel_amod,head_child-deprel_aux,head_child-deprel_cc,head_child-deprel_compound:prt,head_child-deprel_conj,head_child-deprel_expl:pv,head_child-deprel_mark,head_child-deprel_obj,head_child-deprel_obl,head_child-deprel_obl:arg,head_child-deprel_punct,head_child-deprel_xcomp,head_child-feat_advcl_VerbForm,head_child-feat_advmod_PronType,head_child-feat_aux_Number,head_child-feat_aux_Person,head_child-feat_aux_Tense,head_child-feat_obj_Case,head_child-feat_obj_Gender,head_child-feat_obj_Number,head_child-feat_obj_PronType,head_child-feat_obl:arg_Gender,head_child-feat_obl_Case,head_child-feat_obl_Gender,head_child-feat_obl_Number,head_child-lemma_advcl,head_child-lemma_advmod,head_child-lemma_amod,head_child-lemma_aux,head_child-lemma_cc,head_child-lemma_compound:prt,head_child-lemma_conj,head_child-lemma_expl:pv,head_child-lemma_mark,head_child-lemma_obj,head_child-lemma_obl,head_child-lemma_obl:arg,head_child-lemma_punct,head_child-lemma_xcomp,head_child-pos_ADJ,head_child-pos_ADP,head_child-pos_ADV,head_child-pos_AUX,head_child-pos_CCONJ,head_child-pos_NOUN,head_child-pos_NUM,head_child-pos_PRON,head_child-pos_PROPN,head_child-pos_PUNCT,head_child-pos_SCONJ,head_child-pos_VERB,head_deprel,head_dir,head_form,head_grandhead_deprel,head_head_deprel,head_head_pos,head_idx,head_lemma,head_sibling-deprel-L_advmod,head_sibling-deprel-L_amod,head_sibling-deprel-L_aux,head_sibling-deprel-L_aux:pass,head_sibling-deprel-L_case,head_sibling-deprel-L_det,head_sibling-deprel-L_det:poss,head_sibling-deprel-L_mark,head_sibling-deprel-L_nsubj:pass,head_sibling-deprel-L_obj,head_sibling-deprel-L_obl,head_sibling-deprel-L_obl:agent,head_sibling-deprel-L_punct,head_sibling-deprel-R_advmod,head_sibling-deprel-R_appos,head_sibling-deprel-R_aux:pass,head_sibling-deprel-R_expl:pv,head_sibling-deprel-R_flat,head_sibling-deprel-R_nmod,head_sibling-deprel-R_obj,head_sibling-deprel-R_obl,head_sibling-deprel-R_obl:arg,head_sibling-deprel-R_punct,head_sibling-deprel_advmod,head_sibling-deprel_amod,head_sibling-deprel_appos,head_sibling-deprel_aux,head_sibling-deprel_aux:pass,head_sibling-deprel_case,head_sibling-deprel_det,head_sibling-deprel_det:poss,head_sibling-deprel_expl:pv,head_sibling-deprel_flat,head_sibling-deprel_mark,head_sibling-deprel_nmod,head_sibling-deprel_nsubj:pass,head_sibling-deprel_obj,head_sibling-deprel_obl,head_sibling-deprel_obl:agent,head_sibling-deprel_obl:arg,head_sibling-deprel_punct,head_sibling-feat_amod_Case,head_sibling-feat_aux:pass_VerbForm,head_sibling-feat_det_Case,head_sibling-feat_det_Gender,head_sibling-feat_det_Number,head_sibling-feat_det_PronType,head_sibling-feat_nsubj:pass_Gender,head_sibling-feat_obj_Gender,head_sibling-feat_obj_Person,head_sibling-feat_obl_Case,head_sibling-feat_obl_Gender,head_sibling-lemma_advmod,head_sibling-lemma_amod,head_sibling-lemma_appos,head_sibling-lemma_aux,head_sibling-lemma_aux:pass,head_sibling-lemma_case,head_sibling-lemma_det,head_sibling-lemma_det:poss,head_sibling-lemma_expl:pv,head_sibling-lemma_flat,head_sibling-lemma_mark,head_sibling-lemma_nmod,head_sibling-lemma_nsubj:pass,head_sibling-lemma_obj,head_sibling-lemma_obl,head_sibling-lemma_obl:agent,head_sibling-lemma_obl:arg,head_sibling-lemma_punct,head_sibling-pos_ADJ,head_sibling-pos_ADP,head_sibling-pos_ADV,head_sibling-pos_AUX,head_sibling-pos_DET,head_sibling-pos_NOUN,head_sibling-pos_PRON,head_sibling-pos_PROPN,head_sibling-pos_PUNCT,head_sibling-pos_SCONJ,head_under_acl,head_under_acl:relcl,head_under_advcl,head_under_appos,head_under_ccomp,head_under_compound,head_under_conj,head_under_nmod,head_under_nsubj,head_under_obj,head_under_obl,head_under_xcomp,nsubj_Case,nsubj_Gender,nsubj_Number,nsubj_Person,nsubj_PronType,nsubj_child-deprel_acl:relcl,nsubj_child-deprel_advmod,nsubj_child-deprel_amod,nsubj_child-deprel_appos,nsubj_child-deprel_compound,nsubj_child-deprel_conj,nsubj_child-deprel_det,nsubj_child-deprel_nmod,nsubj_child-deprel_nummod,nsubj_child-deprel_punct,nsubj_child-feat_acl:relcl_VerbForm,nsubj_child-feat_amod_Case,nsubj_child-feat_amod_Gender,nsubj_child-feat_amod_Number,nsubj_child-feat_det_Case,nsubj_child-feat_det_Gender,nsubj_child-feat_det_Number,nsubj_child-feat_det_PronType,nsubj_child-feat_nmod_Number,nsubj_child-lemma_acl:relcl,nsubj_child-lemma_advmod,nsubj_child-lemma_amod,nsubj_child-lemma_appos,nsubj_child-lemma_compound,nsubj_child-lemma_conj,nsubj_child-lemma_det,nsubj_child-lemma_nmod,nsubj_child-lemma_nummod,nsubj_child-lemma_punct,nsubj_child-pos_ADJ,nsubj_child-pos_ADV,nsubj_child-pos_DET,nsubj_child-pos_NOUN,nsubj_child-pos_NUM,nsubj_child-pos_PROPN,nsubj_child-pos_PUNCT,nsubj_child-pos_VERB,nsubj_dir,nsubj_form,nsubj_grandhead_deprel,nsubj_head_deprel,nsubj_idx,nsubj_lemma,nsubj_pos,nsubj_sibling-deprel-L_advmod,nsubj_sibling-deprel-L_aux,nsubj_sibling-deprel-L_cc,nsubj_sibling-deprel-L_mark,nsubj_sibling-deprel-L_obj,nsubj_sibling-deprel-L_obl,nsubj_sibling-deprel-L_obl:arg,nsubj_sibling-deprel-L_punct,nsubj_sibling-deprel-L_xcomp,nsubj_sibling-deprel-R_advcl,nsubj_sibling-deprel-R_advmod,nsubj_sibling-deprel-R_amod,nsubj_sibling-deprel-R_aux,nsubj_sibling-deprel-R_cc,nsubj_sibling-deprel-R_compound:prt,nsubj_sibling-deprel-R_conj,nsubj_sibling-deprel-R_expl:pv,nsubj_sibling-deprel-R_obj,nsubj_sibling-deprel-R_obl,nsubj_sibling-deprel-R_obl:arg,nsubj_sibling-deprel-R_punct,nsubj_sibling-deprel-R_xcomp,nsubj_sibling-deprel_advcl,nsubj_sibling-deprel_advmod,nsubj_sibling-deprel_amod,nsubj_sibling-deprel_aux,nsubj_sibling-deprel_cc,nsubj_sibling-deprel_compound:prt,nsubj_sibling-deprel_conj,nsubj_sibling-deprel_expl:pv,nsubj_sibling-deprel_mark,nsubj_sibling-deprel_obj,nsubj_sibling-deprel_obl,nsubj_sibling-deprel_obl:arg,nsubj_sibling-deprel_punct,nsubj_sibling-deprel_xcomp,nsubj_sibling-feat_advcl_VerbForm,nsubj_sibling-feat_advmod_PronType,nsubj_sibling-feat_aux_Number,nsubj_sibling-feat_aux_Person,nsubj_sibling-feat_aux_Tense,nsubj_sibling-feat_obj_Case,nsubj_sibling-feat_obj_Gender,nsubj_sibling-feat_obj_Number,nsubj_sibling-feat_obj_PronType,nsubj_sibling-feat_obl:arg_Gender,nsubj_sibling-feat_obl_Case,nsubj_sibling-feat_obl_Gender,nsubj_sibling-feat_obl_Number,nsubj_sibling-lemma_advcl,nsubj_sibling-lemma_advmod,nsubj_sibling-lemma_amod,nsubj_sibling-lemma_aux,nsubj_sibling-lemma_cc,nsubj_sibling-lemma_compound:prt,nsubj_sibling-lemma_conj,nsubj_sibling-lemma_expl:pv,nsubj_sibling-lemma_mark,nsubj_sibling-lemma_obj,nsubj_sibling-lemma_obl,nsubj_sibling-lemma_obl:arg,nsubj_sibling-lemma_punct,nsubj_sibling-lemma_xcomp,nsubj_sibling-pos_ADJ,nsubj_sibling-pos_ADP,nsubj_sibling-pos_ADV,nsubj_sibling-pos_AUX,nsubj_sibling-pos_CCONJ,nsubj_sibling-pos_NOUN,nsubj_sibling-pos_NUM,nsubj_sibling-pos_PRON,nsubj_sibling-pos_PROPN,nsubj_sibling-pos_PUNCT,nsubj_sibling-pos_SCONJ,nsubj_sibling-pos_VERB,nsubj_under_acl,nsubj_under_acl:relcl,nsubj_under_advcl,nsubj_under_appos,nsubj_under_ccomp,nsubj_under_compound,nsubj_under_conj,nsubj_under_nmod,nsubj_under_obj,nsubj_under_obl,nsubj_under_xcomp,object_idx,subject_idx,verb_idx
0,1,"['Der', 'Vertrag', 'läuft', 'offiziell', 'bis', 'zu', 'dem', '31.', 'Dezember', '1992', '.']",UD_German-GSD,sV,train-s1871,sv,Sing,3,Pres,Fin,False,True,False,False,False,False,False,False,False,False,True,False,True,False,,,,,,,,,,,Nom,Masc,Sing,None,offiziell,None,None,None,None,None,None,None,None,Dezember,None,.,None,True,False,False,False,False,True,False,False,False,True,False,False,root,,läuft,,,,3,laufen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Nom,Masc,Sing,,,False,False,False,False,False,False,True,False,False,False,,,,,Nom,Masc,Sing,Art,,None,None,None,None,None,None,der,None,None,None,False,False,True,False,False,False,False,False,0,Vertrag,,root,2,Vertrag,NOUN,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,,,,,,,,,,,Nom,Masc,Sing,None,offiziell,None,None,None,None,None,None,None,None,Dezember,None,.,None,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,2.0,3.0
1,2,"['Zu', 'dem', 'Schluß', 'gibt', 'es', 'sogar', 'noch', 'typische', 'chinesische', 'Kitschgeschenke', '.']",UD_German-GSD,Vs,train-s419,vso,Sing,3,Pres,Fin,False,True,False,False,False,False,False,False,False,True,True,False,True,False,,,,,,Acc,Neut,Plur,,,Dat,Masc,Sing,None,sogar,None,None,None,None,None,None,None,Kitschgeschenke,Schluß,None,.,None,False,False,True,False,False,True,False,True,False,True,False,False,root,,gibt,,,,4,geben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Nom,Neut,Sing,3,Prs,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,False,False,False,False,False,False,False,False,1,es,,root,5,es,PRON,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,,,,,,Acc,Neut,Plur,,,Dat,Masc,Sing,None,sogar,None,None,None,None,None,None,None,Kitschgeschenke,Schluß,None,.,None,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0,5.0,4.0
2,5,"['Ebenso', 'mit', 'in', 'das', 'Grab', 'nahm', 'sie', 'ihr', 'wahres', 'Geburtsdatum', ',', 'das', 'sie', 'niemals', 'preisgegeben', 'hatte', '.']",UD_German-GSD,Vs,train-s4194,vso,Sing,3,Past,Fin,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,,,,,Acc,Neut,Sing,,,Acc,Neut,Sing,None,None,None,None,None,None,None,None,None,Geburtsdaten,Grab,None,.,None,False,False,False,False,False,True,False,True,False,True,False,False,root,,nahm,,,,6,nehmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Nom,Fem,Sing,3,Prs,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,False,False,False,False,False,False,False,False,1,sie,,root,7,sie,PRON,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,,,,,,Acc,Neut,Sing,,,Acc,Neut,Sing,None,None,None,None,None,None,None,None,None,Geburtsdaten,Grab,None,.,None,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0,7.0,6.0
3,5,"['Ebenso', 'mit', 'in', 'das', 'Grab', 'nahm', 'sie', 'ihr', 'wahres', 'Geburtsdatum', ',', 'das', 'sie', 'niemals', 'preisgegeben', 'hatte', '.']",UD_German-GSD,sV,train-s4194,vso,,,,Part,False,True,False,True,False,False,False,False,False,True,False,False,True,False,,,Sing,3,Past,Acc,Neut,Sing,"Dem,Rel",,,,,None,niemals,None,haben,None,None,None,None,None,der,None,None,",",None,False,False,True,True,False,False,False,True,False,True,False,False,acl:relcl,1.0,preisgegeben,root,obj,NOUN,15,preisgeben,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Acc,,,,,,,,,,,None,wahr,None,None,None,None,None,ihr,None,None,None,None,None,None,None,None,None,None,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,Nom,Fem,Sing,3,Prs,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,False,False,False,False,False,False,False,False,0,sie,obj,acl:relcl,13,sie,PRON,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,,,Sing,3,Past,Acc,Neut,Sing,"Dem,Rel",,,,,None,niemals,None,haben,None,None,None,None,None,der,None,None,",",None,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,10.0,7.0,6.0
4,8,"['Der', 'Photoschutz', '-', 'Mechanismus', 'der', 'DNA', 'hat', 'sich', 'bereits', 'vor', 'vielen', 'Millionen', 'Jahren', 'evolutionär', 'entwickelt', '.']",UD_German-GSD,sV,train-s13063,sov,,,,Part,False,True,False,True,False,False,False,False,False,True,False,False,True,False,,,Sing,3,Pres,Acc,,,Prs,,,,,None,bereits,None,haben,None,None,None,None,None,sich,None,None,.,None,True,False,True,True,False,True,False,True,False,True,False,False,root,,entwickelt,,,,15,entwickeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Nom,Masc,Sing,,,False,False,False,False,True,False,True,True,False,False,,,,,Nom,Masc,Sing,Art,Sing,None,None,None,None,Photoschutz,None,der,DNA,None,None,False,False,True,True,False,False,False,False,0,Mechanismus,,root,4,Mechanismus,NOUN,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,,,Sing,3,Pres,Acc,,,Prs,,,,,None,bereits,None,haben,None,None,None,None,None,sich,None,None,.,None,True,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,4.0,15.0
5,9,"['CDU', '-', 'Fraktionschef', 'Roland', 'Koch', ',', 'der', 'anders', 'als', 'die', 'FDP', 'bisher', 'nur', 'Wohnungsbaugesellschaften', 'und', 'Messe', 'privatisieren', 'wollte', ',', 'deutete', 'jetzt', 'auch', 'einen', 'Meinungswandel', 'der', 'Union', 'zu', 'dem', 'Flughafen', 'an', ':']",UD_German-GSD,sV,train-s1725,svo,Sing,3,Past,Fin,False,True,False,False,False,True,False,False,False,True,False,False,True,False,,,,,,Acc,Masc,Sing,,,,,,None,jetzt,None,None,None,an,None,None,None,Meinungswandel,None,None,:,None,False,True,True,False,False,True,False,False,False,True,False,False,root,,deutete,,,,20,deuten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Nom,Masc,Sing,,,False,False,False,False,True,False,False,False,False,True,,,,,,,,,,None,None,None,None,CDU,None,None,None,None,",",False,False,False,True,False,False,True,False,0,Fraktionschef,,root,3,Fraktionschef,NOUN,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,,,,,,Acc,Masc,Sing,,,,,,None,jetzt,None,None,None,an,None,None,None,Meinungswandel,None,None,:,None,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24.0,3.0,20.0
6,9,"['CDU', '-', 'Fraktionschef', 'Roland', 'Koch', ',', 'der', 'anders', 'als', 'die', 'FDP', 'bisher', 'nur', 'Wohnungsbaugesellschaften', 'und', 'Messe', 'privatisieren', 'wollte', ',', 'deutete', 'jetzt', 'auch', 'einen', 'Meinungswandel', 'der', 'Union', 'zu', 'dem', 'Flughafen', 'an', ':']",UD_German-GSD,sV,train-s1725,svo,,,,Inf,False,True,False,True,False,False,False,False,False,True,False,False,True,False,,,Sing,3,Past,Acc,Fem,Plur,,,,,,None,anders,None,wollen,None,None,None,None,None,Wohnungsbaugesellschaft,None,None,",",None,False,False,True,True,False,True,False,True,False,True,False,False,acl:relcl,1.0,privatisieren,nsubj,compound,NOUN,17,privatisieren,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,None,None,Roland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Nom,Masc,Sing,,"Dem,Rel",False,False,False,False,False,False,False,False,False,False,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,False,False,False,False,False,False,False,False,0,der,compound,acl:relcl,7,der,PRON,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,,,Sing,3,Past,Acc,Fem,Plur,,,,,,None,anders,None,wollen,None,None,None,None,None,Wohnungsbaugesellschaft,None,None,",",None,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,24.0,3.0,20.0
7,11,"['Sie', 'näherten', 'sich', 'dabei', 'dem', 'irrationalen', 'Zahlenwert', 'von', 'Wurzel', 'Zwei', 'in', 'ganz', 'und', 'gar', 'vergleichbarer', 'Weise', ',', 'genau', 'so', ',', 'wie', 'wir', 'es', 'heute', 'auch', 'noch', 'tun', ',', 'wenn', 'wir', 'Wurzel', 'Zwei', 'als', 'gerundeten', 'Wert', 'in', 'einem', 'Dezimalbruch', 'angeben', ':', '1', '+', '(', '4142/10.000', ')', 'oder', '1', '+', '(', '414', '213', '562', '/', '1000000000', ')', '.']",UD_German-GSD,sV,train-s13138,sv,Plur,3,Past,Fin,True,True,False,False,False,False,False,True,False,False,True,True,True,False,Inf,,,,,,,,,Masc,Dat,Fem,Sing,tun,dabei,None,None,None,None,None,sich,None,None,Weise,Zahlenwert,.,None,False,False,True,False,False,True,False,True,False,True,False,True,root,,näherten,,,,2,nähern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Nom,,Plur,3,Prs,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,False,False,False,False,False,False,False,False,0,Sie,,root,1,sie,PRON,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,Inf,,,,,,,,,Masc,Dat,Fem,Sing,tun,dabei,None,None,None,None,None,sich,None,None,Weise,Zahlenwert,.,None,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,1.0,2.0
8,11,"['Sie', 'näherten', 'sich', 'dabei', 'dem', 'irrationalen', 'Zahlenwert', 'von', 'Wurzel', 'Zwei', 'in', 'ganz', 'und', 'gar', 'vergleichbarer', 'Weise', ',', 'genau', 'so', ',', 'wie', 'wir', 'es', 'heute', 'auch', 'noch', 'tun', ',', 'wenn', 'wir', 'Wurzel', 'Zwei', 'als', 'gerundeten', 'Wert', 'in', 'einem', 'Dezimalbruch', 'angeben', ':', '1', '+', '(', '4142/10.000', ')', 'oder', '1', '+', '(', '414', '213', '562', '/', '1000000000', ')', '.']",UD_German-GSD,sV,train-s13138,sv,,,,Inf,True,True,False,False,False,False,False,False,True,True,False,False,True,False,Part,,,,,Acc,Neut,Sing,Prs,,,,,angeben,so,None,None,None,None,None,None,wie,es,None,None,",",None,False,False,True,False,False,False,False,True,False,True,True,True,advcl,1.0,tun,,root,VERB,27,tun,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,,,,,,,,,,Dat,Fem,dabei,None,None,None,None,None,None,None,sich,None,None,None,None,None,Weise,None,Zahlenwert,.,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Nom,,Plur,1,Prs,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,False,False,False,False,False,False,False,False,0,wir,root,advcl,22,wir,PRON,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,Part,,,,,Acc,Neut,Sing,Prs,,,,,angeben,so,None,None,None,None,None,None,wie,es,None,None,",",None,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,,1.0,2.0
9,11,"['Sie', 'näherten', 'sich', 'dabei', 'dem', 'irrationalen', 'Zahlenwert', 'von', 'Wurzel', 'Zwei', 'in', 'ganz', 'und', 'gar', 'vergleichbarer', 'Weise', ',', 'genau', 'so', ',', 'wie', 'wir', 'es', 'heute', 'auch', 'noch', 'tun', ',', 'wenn', 'wir', 'Wurzel', 'Zwei', 'als', 'gerundeten', 'Wert', 'in', 'einem', 'Dezimalbruch', 'angeben', ':', '1', '+', '(', '4142/10.000', ')', 'oder', '1', '+', '(', '414', '213', '562', '/', '1000000000', ')', '.']",UD_German-GSD,sV,train-s13138,sv,,,,Part,False,False,False,False,False,False,False,False,True,True,True,False,True,False,,,,,,Nom,Neut,Sing,,,Dat,Masc,Sing,None,None,None,None,None,None,None,None,wenn,Wurzel,Wert,None,",",None,False,False,False,False,False,True,False,True,False,True,True,False,advcl,1.0,angeben,root,advcl,VERB,39,angeben,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,,,,,,,,Neut,3,,,so,None,None,None,None,None,None,None,None,None,wie,None,None,es,None,None,None,",",False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,Nom,,Plur,1,Prs,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,False,False,False,False,False,False,False,False,0,wir,advcl,advcl,30,wir,PRON,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,,,,,,Nom,Neut,Sing,,,Dat,Masc,Sing,None,None,None,None,None,None,None,None,wenn,Wurzel,Wert,None,",",None,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,,1.0,2.0
